"Dataset File","Collected","Variable","Label","Description"
"Adjudicated Outcomes","Main, Ext1, Ext2","CNSCADY","Days enrollment to Central Nervous System Cancer","Days enrollment to Central Nervous System Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","CNSCASRC","Central Nervous System Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","CERVICAL","Cervix Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","CERVICALDY","Days enrollment to Cervix Cancer","Days enrollment to Cervix Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","CERVICALSRC","Cervix Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","COLON","Colon Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","COLONDY","Days enrollment to Colon Cancer","Days enrollment to Colon Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","COLONSRC","Colon Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","COLORECTAL","Colorectal Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","COLORECTALDY","Days enrollment to Colorectal Cancer","Days enrollment to Colorectal Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","COLORECTALSRC","Colorectal Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","CONNECTIVE","Connective Tissue Cancer","Cancer of connective, subcutaneous and soft tissues"
"Adjudicated Outcomes","Main, Ext1, Ext2","CONNECTIVEDY","Days enrollment to Connective Tissue Cancer","Days enrollment to Connective Tissue Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","CONNECTIVESRC","Connective Tissue Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","ENDOCRINE","Endocrine Glands Cancer","Cancer of endocrine glands and related structures"
"Adjudicated Outcomes","Main, Ext1, Ext2","ENDOCRINEDY","Days enrollment to Endocrine Glands Cancer","Days enrollment to Endocrine Glands Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","ENDOCRINESRC","Endocrine Glands Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","ENDMTRL","Endometrial Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","ENDMTRLDY","Days enrollment to Endometrial Cancer","Days enrollment to Endometrial Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","ENDMTRLSRC","Endometrial Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","ESOPHAGUS","Esophagus Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","ESOPHAGUSDY","Days enrollment to Esophagus Cancer","Days enrollment to Esophagus Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","ESOPHAGUSSRC","Esophagus Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","EYE","Eye and Adnexa Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","EYEDY","Days enrollment to Eye and Adnexa Cancer","Days enrollment to Eye and Adnexa Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","EYESRC","Eye and Adnexa Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","GALLBLDR","Gallbladder Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","GALLBLDRDY","Days enrollment to Gallbladder Cancer","Days enrollment to Gallbladder Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","GALLBLDRSRC","Gallbladder Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","GENITAL","Genital Organs Cancer","Cancer of genital organs, other or unspecified"
"Adjudicated Outcomes","Main, Ext1, Ext2","GENITALDY","Days enrollment to Genital Organs Cancer","Days enrollment to Genital Organs Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","GENITALSRC","Genital Organs Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","GUM","Gum Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","GUMDY","Days enrollment to Gum Cancer","Days enrollment to Gum Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","GUMSRC","Gum Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","HEART","Heart Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","HEARTDY","Days enrollment to Heart Cancer","Days enrollment to Heart Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","HEARTSRC","Heart Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","HYPOPHAR","Hypopharynx Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","HYPOPHARDY","Days enrollment to Hypopharynx Cancer","Days enrollment to Hypopharynx Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","HYPOPHARSRC","Hypopharynx Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","KIDNEY","Kidney Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","KIDNEYDY","Days enrollment to Kidney Cancer","Days enrollment to Kidney Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","KIDNEYSRC","Kidney Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","LARYNX","Larynx Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","LARYNXDY","Days enrollment to Larynx Cancer","Days enrollment to Larynx Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","LARYNXSRC","Larynx Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","LEUKEMIA","Leukemia Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","LEUKEMIADY","Days enrollment to Leukemia Cancer","Days enrollment to Leukemia Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","LEUKEMIASRC","Leukemia Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","LIVER","Liver Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","LIVERDY","Days enrollment to Liver Cancer","Days enrollment to Liver Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","LIVERSRC","Liver Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","LUNG","Lung Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","LUNGDY","Days enrollment to Lung Cancer","Days enrollment to Lung Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","LUNGSRC","Lung Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","LYMPH","Lymph Node Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","LYMPHDY","Days enrollment to Lymph Node Cancer","Days enrollment to Lymph Node Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","LYMPHSRC","Lymph Node Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","HODGKINS","Lymphoma Hodgkins",""
"Adjudicated Outcomes","Main, Ext1, Ext2","HODGKINSDY","Days enrollment to Lymphoma Hodgkins","Days enrollment to Lymphoma Hodgkins"
"Adjudicated Outcomes","Main, Ext1, Ext2","HODGKINSSRC","Lymphoma Hodgkins ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","LYMPHOMA","Lymphoma Non Hodgkins",""
"Adjudicated Outcomes","Main, Ext1, Ext2","LYMPHOMADY","Days enrollment to Lymphoma Non Hodgkins","Days enrollment to Lymphoma Non Hodgkins"
"Adjudicated Outcomes","Main, Ext1, Ext2","LYMPHOMASRC","Lymphoma Non Hodgkins ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","MELANOMA","Melanoma of the Skin",""
"Adjudicated Outcomes","Main, Ext1, Ext2","MELANOMADY","Days enrollment to Melanoma of the Skin","Days enrollment to Melanoma of the Skin"
"Adjudicated Outcomes","Main, Ext1, Ext2","MELANOMASRC","Melanoma of the Skin ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","MENINGES","Meninges Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","MENINGESDY","Days enrollment to Meninges Cancer","Days enrollment to Meninges Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","MENINGESSRC","Meninges Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","MMYELOMA","Multiple Myeloma",""
"Adjudicated Outcomes","Main, Ext1, Ext2","MMYELOMADY","Days enrollment to Multiple Myeloma","Days enrollment to Multiple Myeloma"
"Adjudicated Outcomes","Main, Ext1, Ext2","MMYELOMASRC","Multiple Myeloma ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","MOUTHFLOOR","Floor Of Mouth Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","MOUTHFLOORDY","Days enrollment to Floor Of Mouth Cancer","Days enrollment to Floor Of Mouth Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","MOUTHFLOORSRC","Floor Of Mouth Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","MYCOSISF","Mycosis Fungoides",""
"Adjudicated Outcomes","Main, Ext1, Ext2","MYCOSISFDY","Days enrollment to Mycosis Fungoides","Days enrollment to Mycosis Fungoides"
"Adjudicated Outcomes","Main, Ext1, Ext2","MYCOSISFSRC","Mycosis Fungoides ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","NASAL","Nasal Cavity Mid Ear Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","NASALDY","Days enrollment to Nasal Cavity Mid Ear Cancer","Days enrollment to Nasal Cavity Mid Ear Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","NASALSRC","Nasal Cavity Mid Ear Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","NASOPHAR","Nasopharynx Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","NASOPHARDY","Days enrollment to Nasopharynx Cancer","Days enrollment to Nasopharynx Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","NASOPHARSRC","Nasopharynx Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","ORALUNSP","Oral (Mouth) Cancer","Oral cancer, mouth, other or unspecified"
"Adjudicated Outcomes","Main, Ext1, Ext2","ORALUNSPDY","Days enrollment to Oral (Mouth) Cancer","Days enrollment to Oral (Mouth) Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","ORALUNSPSRC","Oral (Mouth) Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","OROPHARYNX","Oropharynx Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","OROPHARYNXDY","Days enrollment to Oropharynx Cancer","Days enrollment to Oropharynx Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","OROPHARYNXSRC","Oropharynx Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","OTHERDIGEST","Other Digestive Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","OTHERDIGESTDY","Days enrollment to Other Digestive Cancer","Days enrollment to Other Digestive Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","OTHERDIGESTSRC","Other Digestive Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","OTHERLIP","Other Lip Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","OTHERLIPDY","Days enrollment to Other Lip Cancer","Days enrollment to Other Lip Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","OTHERLIPSRC","Other Lip Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","OVARY","Ovarian Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","OVARYDY","Days enrollment to Ovarian Cancer","Days enrollment to Ovarian Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","OVARYSRC","Ovarian Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","PALATE","Palate Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","PALATEDY","Days enrollment to Palate Cancer","Days enrollment to Palate Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","PALATESRC","Palate Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","PANCREAS","Pancreas Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","PANCREASDY","Days enrollment to Pancreas Cancer","Days enrollment to Pancreas Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","PANCREASSRC","Pancreas Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","PAROTID","Parotid Gland,Stensens Cancer","Cancer of Parotid gland or Stensens duct"
"Adjudicated Outcomes","Main, Ext1, Ext2","PAROTIDDY","Days enrollment to Parotid Gland,Stensens Cancer","Days enrollment to Parotid Gland,Stensens Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","PAROTIDSRC","Parotid Gland,Stensens Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","PERIPHERAL","Peripheral Nerves Cancer","Cancer of Peripheral nerves and autonomic system"
"Adjudicated Outcomes","Main, Ext1, Ext2","PERIPHERALDY","Days enrollment to Peripheral Nerves Cancer","Days enrollment to Peripheral Nerves Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","PERIPHERALSRC","Peripheral Nerves Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","PERITONEUM","Peritoneum Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","PERITONEUMDY","Days enrollment to Peritoneum Cancer","Days enrollment to Peritoneum Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","PERITONEUMSRC","Peritoneum Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","PYRIFORM","Pyriform Sinus Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","PYRIFORMDY","Days enrollment to Pyriform Sinus Cancer","Days enrollment to Pyriform Sinus Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","PYRIFORMSRC","Pyriform Sinus Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","RECTOSIG","Rectosigmoid Cancer","Cancer of the rectosigmoid junction"
"Adjudicated Outcomes","Main, Ext1, Ext2","RECTOSIGDY","Days enrollment to Rectosigmoid Cancer","Days enrollment to Rectosigmoid Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","RECTOSIGSRC","Rectosigmoid Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","RECTUM","Rectum Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","RECTUMDY","Days enrollment to Rectum Cancer","Days enrollment to Rectum Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","RECTUMSRC","Rectum Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","RENALPELV","Renal Pelvis Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","RENALPELVDY","Days enrollment to Renal Pelvis Cancer","Days enrollment to Renal Pelvis Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","RENALPELVSRC","Renal Pelvis Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","RESP","Respiratory Cancer","Cancer of respiratory system and intrathoracic."
"Adjudicated Outcomes","Main, Ext1, Ext2","RESPDY","Days enrollment to Respiratory Cancer","Days enrollment to Respiratory Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","RESPSRC","Respiratory Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","SALIVARY","Salivary Glands Cancer","Cancer of salivary glands, major, other or unspecified."
"Adjudicated Outcomes","Main, Ext1, Ext2","SALIVARYDY","Days enrollment to Salivary Glands Cancer","Days enrollment to Salivary Glands Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","SALIVARYSRC","Salivary Glands Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","SMINTEST","Small Intestine Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","SMINTESTDY","Days enrollment to Small Intestine Cancer","Days enrollment to Small Intestine Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","SMINTESTSRC","Small Intestine Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","STOMACH","Stomach Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","STOMACHDY","Days enrollment to Stomach Cancer","Days enrollment to Stomach Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","STOMACHSRC","Stomach Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","THYMUS","Thymus Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","THYMUSDY","Days enrollment to Thymus Cancer","Days enrollment to Thymus Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","THYMUSSRC","Thymus Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","THYROID","Thyroid Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","THYROIDDY","Days enrollment to Thyroid Cancer","Days enrollment to Thyroid Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","THYROIDSRC","Thyroid Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","TONGUE","Tongue Cancer","Cancer of tongue, other or unspecified part"
"Adjudicated Outcomes","Main, Ext1, Ext2","TONGUEDY","Days enrollment to Tongue Cancer","Days enrollment to Tongue Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","TONGUESRC","Tongue Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","TONSIL","Tonsil Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","TONSILDY","Days enrollment to Tonsil Cancer","Days enrollment to Tonsil Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","TONSILSRC","Tonsil Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","TRACHEA","Trachea Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","TRACHEADY","Days enrollment to Trachea Cancer","Days enrollment to Trachea Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","TRACHEASRC","Trachea Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","URETER","Ureter Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","URETERDY","Days enrollment to Ureter Cancer","Days enrollment to Ureter Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","URETERSRC","Ureter Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","URINARY","Urinary Organs Cancer","Cancer of urinary organs, other or unspecified."
"Adjudicated Outcomes","Main, Ext1, Ext2","URINARYDY","Days enrollment to Urinary Organs Cancer","Days enrollment to Urinary Organs Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","URINARYSRC","Urinary Organs Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","UTERINE","Uterus, Not Spec. Cancer","Cancer of uterus, not otherwise specified"
"Adjudicated Outcomes","Main, Ext1, Ext2","UTERINEDY","Days enrollment to Uterus, Not Spec. Cancer","Days enrollment to Uterus, Not Spec. Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","UTERINESRC","Uterus, Not Spec. Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","VAGINA","Vagina Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","VAGINADY","Days enrollment to Vagina Cancer","Days enrollment to Vagina Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","VAGINASRC","Vagina Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","VULVA","Vulva Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","VULVADY","Days enrollment to Vulva Cancer","Days enrollment to Vulva Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","VULVASRC","Vulva Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","CANCOTHER","Other/Unknown Cancer",""
"Adjudicated Outcomes","Main, Ext1, Ext2","CANCOTHERDY","Days enrollment to Other/Unknown Cancer","Days enrollment to Other/Unknown Cancer"
"Adjudicated Outcomes","Main, Ext1, Ext2","CANCOTHERSRC","Other/Unknown Cancer ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","ANYFX","Any Adjudicated Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","ANYFXDY","Days enrollment to Any Adjudicated Fracture","Days enrollment to Any Adjudicated Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","ANYFXSRC","Any Adjudicated Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKANKLE","Ankle Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKANKLEDY","Days enrollment to Ankle Fracture","Days enrollment to Ankle Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKANKLESRC","Ankle Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKCARPAL","Carpal Fracture","Carpal bones in wrist"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKCARPALDY","Days enrollment to Carpal Fracture","Days enrollment to Carpal Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKCARPALSRC","Carpal Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKCLAVICLE","Clavical Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKCLAVICLEDY","Days enrollment to Clavical Fracture","Days enrollment to Clavical Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKCLAVICLESRC","Clavical Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKELBOWNOS","Elbow NOS Fracture","Elbow, not otherwise specified"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKELBOWNOSDY","Days enrollment to Elbow NOS Fracture","Days enrollment to Elbow NOS Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKELBOWNOSSRC","Elbow NOS Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKHIP","Hip Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKHIPDY","Days enrollment to Hip Fracture","Days enrollment to Hip Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKHIPSRC","Hip Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKLELBOW","Lower End of Humerus Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKLELBOWDY","Days enrollment to Lower End of Humerus Fracture","Days enrollment to Lower End of Humerus Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKLELBOWSRC","Lower End of Humerus Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKHAND","Metacarpal Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKHANDDY","Days enrollment to Metacarpal Fracture","Days enrollment to Metacarpal Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKHANDSRC","Metacarpal Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKPATELLA","Patella Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKPATELLADY","Days enrollment to Patella Fracture","Days enrollment to Patella Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKPATELLASRC","Patella Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKPELVIS","Pelvis Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKPELVISDY","Days enrollment to Pelvis Fracture","Days enrollment to Pelvis Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKPELVISSRC","Pelvis Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKLARM","Radius or Ulna Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKLARMDY","Days enrollment to Radius or Ulna Fracture","Days enrollment to Radius or Ulna Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKLARMSRC","Radius or Ulna Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKCOCCYX","Sacrum or Coccyx Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKCOCCYXDY","Days enrollment to Sacrum or Coccyx Fracture","Days enrollment to Sacrum or Coccyx Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKCOCCYXSRC","Sacrum or Coccyx Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKSCAPULA","Scapula Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKSCAPULADY","Days enrollment to Scapula Fracture","Days enrollment to Scapula Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKSCAPULASRC","Scapula Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKUPPERLEG","Shaft of Femur Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKUPPERLEGDY","Days enrollment to Shaft of Femur Fracture","Days enrollment to Shaft of Femur Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKUPPERLEGSRC","Shaft of Femur Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKOHUMERUS","Shaft of Humerus Fracture","Fracture of humerus, shaft or unspecified part"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKOHUMERUSDY","Days enrollment to Shaft of Humerus Fracture","Days enrollment to Shaft of Humerus Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKOHUMERUSSRC","Shaft of Humerus Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKFOOT","Tarsal or Metatarsal Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKFOOTDY","Days enrollment to Tarsal or Metatarsal Fracture","Days enrollment to Tarsal or Metatarsal Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKFOOTSRC","Tarsal or Metatarsal Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKTIBIAFIBULA","Tibia or Fibula Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKTIBIAFIBULADY","Days enrollment to Tibia or Fibula Fracture","Days enrollment to Tibia or Fibula Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKTIBIAFIBULASRC","Tibia or Fibula Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKTIBIAL","Tibial Plateau Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKTIBIALDY","Days enrollment to Tibial Plateau Fracture","Days enrollment to Tibial Plateau Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKTIBIALSRC","Tibial Plateau Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKUHUMERUS","Upper End of Humerus Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKUHUMERUSDY","Days enrollment to Upper End of Humerus Fracture","Days enrollment to Upper End of Humerus Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKUHUMERUSSRC","Upper End of Humerus Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKUELBOW","Upper Radius/Ulna Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKUELBOWDY","Days enrollment to Upper Radius/Ulna Fracture","Days enrollment to Upper Radius/Ulna Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKUELBOWSRC","Upper Radius/Ulna Fracture ascertainment source",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKSPINE","Vertebral Fracture",""
"Adjudicated Outcomes","Main, Ext1, Ext2","BKSPINEDY","Days enrollment to Vertebral Fracture","Days enrollment to Vertebral Fracture"
"Adjudicated Outcomes","Main, Ext1, Ext2","BKSPINESRC","Vertebral Fracture ascertainment source",""
